226,3	0,49689944
219,2	0,636818465
212,1	1,057285585
205,1	2,765075951
198	9,856807233
190,9	34,15513756
183,8	63,36694557
176,8	80,49748211
169,7	88,38510022
162,6	92,59535064
155,6	95,418619
148,5	97,33951146
141,4	98,86428206
134,3	100,1983734
127,3	100,9299475
120,2	101,2775629
113,1	101,0709893
106,1	101,1401525
99	101,2295203
91,9	101,1745204
84,9	101,051859
77,8	100,6471027
70,7	100,4259178
63,6	100,3971698
56,6	100,3684218
49,5	100,3306925
42,4	100,2930677
35,4	100,2424912
28,3	100,1893432
21,2	100,1014435
14,1	100,0717453
0	100
-14,1	99,92825471
-21,2	99,93839799
-28,3	99,86029446
-35,4	99,87175331
-42,4	99,96812185
-49,5	100,0644904
-56,6	100,1439502
-63,6	100,1963925
-70,7	100,3711712
-77,8	100,5459498
-84,9	100,8815152
-91,9	100,9580713
-99	101,0517142
-106,1	101,0594944
-113,1	101,0423198
-120,2	101,1015896
-127,3	100,7136187
-134,3	100,1944101
-141,4	98,96842049
-148,5	97,75532581
-155,6	96,14920122
-162,6	93,4095386
-169,7	88,96424552
-176,8	80,65340774
-183,8	62,27368727
-190,9	31,93880039
-198	9,393998616
-205,1	2,299373462
-212,1	0,767308112
-219,2	0,449337887
-226,3	0,396359458
